question,topic,sub_topic,is_useful
Are you taking any medication?,others,['medication'],True
What is Medicaid 84?,others,['Description for others'],True
Can I use the dental coverage somewhere else aside from the US?,dental,['NA'],True
How can I use my U card or find out what the balance is on it?,others,['U card'],True
What is the name and last name?,others,[],False
How much money for the gym?,"transportation, food and gym benefits",['NA'],True
Can you check to see if my medications are covered?,prescription drug coverage,['NA'],True
When does this start? I will get my Medicare Advantage card.,enrollment,['Medicare Advantage card'],True
Do you understand the benefits we went over earlier?,general plan information,['NA'],False
I would like to enroll in the Medicare Advantage and would like to know which one is better among the two.,plan comparison,['NA'],False
I have a Medigap policy plan and I'm trying to find out what the cost of the policy for 2025 will be.,plan costs,['Medigap policy'],False
Who is your primary provider?,providers,['NA'],True
Would you like your mail sent to a different address?,others,['mail forwarding'],False
Did you want your e-mail to come in English?,others,['email language preference'],False
What is the monthly premium for this plan?,plan costs,['monthly premium'],False
Will you have any other insurance that covers medical services when this plan becomes effective?,others,['insurance coverage'],False
Does the plan include everything I am looking for?,general plan information,['NA'],True
Are there any other prescription drug coverages when this plan becomes effective?,prescription drug coverage,['NA'],False
What is the name of the plan I am looking at?,general plan information,['NA'],False
I am shopping for Medicare Advantage plans and my primary doctor has been dropped by Florida Blue. Can you help me find a new insurance company?,plan changes,['Florida Blue'],True
Are you currently enrolled in Tennessee's Medicaid program?,enrollment,"[""Tennessee's Medicaid program""]",False
I checked your website and all my doctors are in your network. Can you confirm this?,providers,['NA'],True
What is the proposed effective date for this plan?,general plan information,['NA'],False
Do you understand and agree to the information discussed during this enrollment application?,enrollment,['NA'],False
Will you have any other insurance that covers medical services when this plan becomes effective?,general plan information,['NA'],False
Are you ready to enroll in the AARP Medicare Advantage from UHC FL-0021 PPO?,enrollment,"['AARP Medicare Advantage', 'UHC FL-0021 PPO']",False
